ano,filiados,mes,sigla
1988,3378,2,PR
1988,7403,2,PDT
1988,35845,2,DEM
1988,62,2,PTN
1988,12994,2,PTB
1988,10,2,PT DO B
1988,1,2,PRTB
1988,732,2,PTC
1988,13,2,PV
1988,90459,2,PMDB
1988,9668,2,PP
1988,1,2,PSTU
1988,205,2,PSC
1988,1148,2,PC DO B
1988,58,2,PSDB
1988,3896,2,PT
1988,162,2,PMN
1988,8,2,PCB
1988,2752,2,PSB
1988,1,2,PSL
1988,1,2,PSDC
1988,806,2,PPS
1988,3847,4,PR
1988,6765,4,PDT
1988,1,4,PTN
1988,3070,4,PSC
1988,212,4,PC DO B
1988,10,4,PSDB
1988,4622,4,PT
1988,6864,4,DEM
1988,8908,4,PTB
1988,628,4,PSB
1988,305,4,PTC
1988,174,4,PMN
1988,54,4,PSDC
1988,1434,4,PPS
1988,11,4,PCB
1988,5558,4,PP
1988,27,4,PV
1988,2356,4,PMDB
1988,1,4,PRP
1988,3606,1,PR
1988,1,1,SD
1988,5429,1,PDT
1988,3,1,PTN
1988,250,1,PSC
1988,11375,1,PC DO B
1988,28,1,PSDB
1988,3395,1,PT
1988,19200,1,DEM
1988,4949,1,PTB
1988,10285,1,PSB
1988,499,1,PMN
1988,12,1,PT DO B
1988,95,1,PTC
1988,1003,1,PPS
1988,135,1,PCB
1988,4977,1,PP
1988,20,1,PV
1988,23363,1,PMDB
1988,4,1,PRP
1988,6031,3,PR
1988,2,3,PCO
1988,13900,3,PDT
1988,2067,3,PTC
1988,8927,3,DEM
1988,13377,3,PTB
1988,2,3,PHS
1988,1,3,PRB
1988,4,3,PRTB
1988,83,3,PCB
1988,44,3,PV
1988,179229,3,PMDB
1988,25720,3,PP
1988,28,3,PTN
1988,1618,3,PSC
1988,503,3,PC DO B
1988,82,3,PSDB
1988,7675,3,PT
1988,835,3,PMN
1988,1781,3,PSB
1988,2,3,PSL
1988,26,3,PSDC
1988,1770,3,PPS
1988,4,3,PRP
1981,4,2,PR
1981,3334,2,PDT
1981,11,2,PTN
1981,4,2,PSC
1981,20,2,PC DO B
1981,4,2,PSDB
1981,702,2,PT
1981,44,2,DEM
1981,1191,2,PTB
1981,2,2,PSB
1981,1,2,PMN
1981,1,2,PT DO B
1981,2,2,PRB
1981,1,2,PTC
1981,2,2,PPS
1981,1,2,PRTB
1981,844,2,PP
1981,1,2,PSOL
1981,18384,2,PMDB
1981,7,4,PR
1981,565,4,PP
1981,3,4,PTN
1981,1,4,PSC
1981,2,4,PC DO B
1981,1,4,PSDB
1981,2764,4,PT
1981,15,4,DEM
1981,177,4,PTB
1981,1,4,PSB
1981,3,4,PPS
1981,19284,4,PDT
1981,3131,4,PMDB
1981,2,4,PRP
1981,3,1,PR
1981,3381,1,PDT
1981,1,1,PCB
1981,1,1,PSC
1981,12,1,PC DO B
1981,3,1,PSDB
1981,585,1,PT
1981,1,1,PMN
1981,7055,1,PTB
1981,3,1,PSB
1981,564,1,PP
1981,26,1,DEM
1981,3,1,PPS
1981,2,1,PTC
1981,5292,1,PMDB
1981,1,1,PRP
1981,6,3,PR
1981,14968,3,PDT
1981,11,3,PTN
