ano,filiados,mes,sigla
1993,479,5,PSB
1993,53,5,PV
1993,2,5,PCB
1993,1095,5,PMN
1993,223,5,PT DO B
1993,221,5,PR
1993,2,5,PSTU
1993,848,5,PMDB
1993,1296,5,PSC
1993,35,5,PTC
1993,442,5,PC DO B
1993,2,5,PTN
1993,565,5,PRP
1993,1768,5,PSDB
1993,1525,5,PDT
1993,1107,5,PP
1993,699,5,PT
1993,234,5,PPS
1993,3079,5,PTB
1993,799,5,DEM
1993,1429,11,PSDB
1993,398,11,PSB
1993,21,11,PCO
1993,166,11,PCB
1993,377,11,PMN
1993,559,11,PT DO B
1993,1484,11,PC DO B
1993,1,11,PSL
1993,46,11,PSTU
1993,4,11,PV
1993,1071,11,PMDB
1993,83,11,PTC
1993,258,11,PR
1993,118,11,PSC
1993,560,11,PRP
1993,1052,11,PDT
1993,6282,11,PP
1993,1504,11,PT
1993,183,11,PPS
1993,675,11,PTB
1993,930,11,DEM
1993,248,8,PSB
1993,4,8,PTN
1993,22,8,PV
1993,59,8,PCB
1993,596,8,PMN
1993,494,8,PT DO B
1993,536,8,PR
1993,637,8,PRP
1993,2,8,PSDC
1993,2223,8,PMDB
1993,52,8,PTC
1993,2616,8,PC DO B
1993,34,8,PSC
1993,1,8,PRTB
1993,3905,8,PSDB
1993,5638,8,PDT
1993,7006,8,PP
1993,811,8,PT
1993,471,8,PPS
1993,1585,8,PTB
1993,479,8,DEM
1993,579,3,PSB
1993,44,3,PV
1993,10,3,PCB
1993,307,3,PMN
1993,540,3,PT DO B
1993,269,3,PR
1993,4,3,PSTU
1993,1294,3,PRP
1993,926,3,PMDB
1993,128,3,PTC
1993,263,3,PC DO B
1993,106,3,PSC
1993,2,3,PRTB
1993,1744,3,PSDB
1993,1255,3,PDT
1993,624,3,PP
1993,2101,3,PT
1993,75,3,PPS
1993,509,3,PTB
1993,4133,3,DEM
1993,2386,10,DEM
1993,587,10,PMN
1993,13545,10,PP
1993,33,10,PSTU
1993,45,10,PV
1993,2,10,PSDC
1993,2056,10,PMDB
1993,2,10,PRTB
1993,107,10,PPS
1993,6,10,PRB
